sample_id_2020,area,area_sub,year,habitat,depth,species,max_n,sampling_period,latitude,longitude,sample_id_2017
1,HERMANUS,GANSBAAI,2016,REEF,23,Haploblepharus edwardsii,5,Winter_2016,-34.5746,19.3331,35
1,HERMANUS,GANSBAAI,2016,REEF,23,Poroderma africanum,2,Winter_2016,-34.5746,19.3331,35
1,HERMANUS,GANSBAAI,2016,REEF,23,Poroderma pantherinum,10,Winter_2016,-34.5746,19.3331,35
1,HERMANUS,GANSBAAI,2016,REEF,23,Sarpa salpa,1,Winter_2016,-34.5746,19.3331,35
1,HERMANUS,HERMANUS,2015,REEF,14,Chirodactylus brachydactylus,1,Winter_2015,-34.436408,19.227133,46
1,HERMANUS,HERMANUS,2015,REEF,14,Gymnocrotaphus curvidens,4,Winter_2015,-34.436408,19.227133,46
1,HERMANUS,HERMANUS,2013,KELP,3,Clinus cottoides,1,Spring_2013,-34.435592,19.226495,2
1,HERMANUS,HERMANUS,2013,KELP,3,Eptatretus hexatrema,1,Spring_2013,-34.435592,19.226495,2
1,HERMANUS,HERMANUS,2013,KELP,3,Haploblepharus pictus,1,Spring_2013,-34.435592,19.226495,2
1,HERMANUS,HERMANUS,2013,KELP,2,Cheilodactylus fasciatus,2,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2013,KELP,2,Clinus cottoides,1,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2013,KELP,2,Diplodus capensis,6,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2013,KELP,2,Haploblepharus edwardsii,1,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2013,KELP,2,Haploblepharus pictus,2,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2013,KELP,2,Pavoclinus graminis,1,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2013,KELP,2,Sardinops sagax,1,Spring_2013,-34.435592,19.226495,4
1,HERMANUS,HERMANUS,2015,KELP,6,Haploblepharus pictus,1,Winter_2015,-34.4336,19.2254,13
1,HERMANUS,HERMANUS,2015,KELP,6,Psammagobius knysnaensis,3,Winter_2015,-34.4336,19.2254,13
1,HERMANUS,HERMANUS,2015,REEF,9,Chirodactylus brachydactylus,1,Winter_2015,-34.4336,19.2439,12
1,HERMANUS,HERMANUS,2015,REEF,9,Clinus venustris,2,Winter_2015,-34.4336,19.2439,12
1,HERMANUS,HERMANUS,2015,REEF,9,Eptatretus hexatrema,1,Winter_2015,-34.4336,19.2439,12
1,HERMANUS,HERMANUS,2015,REEF,9,Poroderma pantherinum,1,Winter_2015,-34.4336,19.2439,12
1,HERMANUS,HERMANUS,2013,KELP,5,Clinus cottoides,1,Spring_2013,-34.428146,19.23347,7
1,HERMANUS,HERMANUS,2013,KELP,5,Diplodus hottentotus,1,Spring_2013,-34.428146,19.23347,7
1,HERMANUS,HERMANUS,2013,KELP,5,Eptatretus hexatrema,1,Spring_2013,-34.428146,19.23347,7
1,HERMANUS,HERMANUS,2013,KELP,5,Haploblepharus edwardsii,2,Spring_2013,-34.428146,19.23347,7
1,HERMANUS,HERMANUS,2013,KELP,5,Syngnathus acus,1,Spring_2013,-34.428146,19.23347,7
1,HERMANUS,VERMONT,2016,KELP,11,Chirodactylus brachydactylus,1,Winter_2016,-34.4244,19.1659,41
1,HERMANUS,VERMONT,2016,KELP,11,Diplodus sargus,8,Winter_2016,-34.4244,19.1659,41
1,HERMANUS,VERMONT,2016,KELP,11,Eptatretus hexatrema,1,Winter_2016,-34.4244,19.1659,41
1,HERMANUS,VERMONT,2016,KELP,11,Haploblepharus pictus,1,Winter_2016,-34.4244,19.1659,41
1,HERMANUS,VERMONT,2016,KELP,13,Chirodactylus brachydactylus,1,Winter_2016,-34.4242,19.1576,40
1,HERMANUS,VERMONT,2016,KELP,13,Eptatretus hexatrema,1,Winter_2016,-34.4242,19.1576,40
1,HERMANUS,VERMONT,2016,KELP,13,Haploblepharus edwardsii,1,Winter_2016,-34.4242,19.1576,40
1,HERMANUS,VERMONT,2016,KELP,13,Notorynchus cepedianus,1,Winter_2016,-34.4242,19.1576,40
1,HERMANUS,VERMONT,2016,KELP,11,Cheilodactylus fasciatus,1,Winter_2016,-34.4239,19.1278,38
1,HERMANUS,VERMONT,2016,KELP,11,Clinus venustris,1,Winter_2016,-34.4239,19.1278,38
1,HERMANUS,VERMONT,2016,KELP,11,Dasyatis brevicaudata,1,Winter_2016,-34.4239,19.1278,38
1,HERMANUS,VERMONT,2016,KELP,11,Diplodus capensis,1,Winter_2016,-34.4239,19.1278,38
1,HERMANUS,VERMONT,2016,KELP,11,Eptatretus hexatrema,1,Winter_2016,-34.4239,19.1278,38
1,HERMANUS,VERMONT,2016,KELP,11,Pachymetopon blochii,35,Winter_2016,-34.4239,19.1278,38
1,HERMANUS,HERMANUS,2016,KELP,2,Chirodactylus brachydactylus,1,Summer_2016,-34.4209,19.2439,10
1,HERMANUS,HERMANUS,2016,KELP,2,Clinus superciliosus,8,Summer_2016,-34.4209,19.2439,10
1,HERMANUS,HERMANUS,2016,KELP,2,Sarpa salpa,60,Summer_2016,-34.4209,19.2439,10
1,HERMANUS,HERMANUS,2015,KELP,5.6,Cheilodactylus fasciatus,1,Spring_2015,-34.4209,19.2439,11
1,HERMANUS,HERMANUS,2015,KELP,5.6,Pachymetopon aeneum,14,Spring_2015,-34.4209,19.2439,11
1,HERMANUS,HERMANUS,2015,KELP,5.6,Pavoclinus graminis,1,Spring_2015,-34.4209,19.2439,11
1,HERMANUS,HERMANUS,2015,REEF,22,Cheilodactylus brachydactylus,1,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Cheilodactylus fasciatus,3,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Chrysoblephus laticeps,4,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Eptatretus hexatrema,1,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Haploblepharus pictus,1,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Pachymetopon blochii,8,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Pachymetopon grande,1,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2015,REEF,22,Rhabdosargus holubi,12,Spring_2015,-34.4209,19.2439,19
1,HERMANUS,HERMANUS,2014,KELP,3,Clinus cottoides,1,Summer_2014,-34.4209,19.2439,52
1,HERMANUS,HERMANUS,2014,KELP,3,Clinus superciliosus,1,Summer_2014,-34.4209,19.2439,52
1,HERMANUS,HERMANUS,2014,KELP,3,Haploblepharus pictus,1,Summer_2014,-34.4209,19.2439,52
1,HERMANUS,HERMANUS,2014,KELP,3,Myxine capensis,2,Summer_2014,-34.4209,19.2439,52
1,HERMANUS,HERMANUS,2014,KELP,3,Poroderma africanum,1,Summer_2014,-34.4209,19.2439,52
1,HERMANUS,HERMANUS,2014,REEF,4,Amblyrhynchotes honckenii,1,Summer_2014,-34.4209,19.2439,53
1,HERMANUS,HERMANUS,2014,REEF,4,Clinus superciliosus,1,Summer_2014,-34.4209,19.2439,53
1,HERMANUS,HERMANUS,2014,REEF,4,Haploblepharus edwardsii,1,Summer_2014,-34.4209,19.2439,53
1,HERMANUS,HERMANUS,2014,REEF,4,Liza dumerili,1,Summer_2014,-34.4209,19.2439,53
1,HERMANUS,HERMANUS,2016,KELP,3,Cheilodactylus fasciatus,1,Summer_2016,-34.4209,19.2439,54
1,HERMANUS,HERMANUS,2016,KELP,3,Clinus superciliosus,1,Summer_2016,-34.4209,19.2439,54
1,HERMANUS,HERMANUS,2016,KELP,3,Fucomimus mus,1,Summer_2016,-34.4209,19.2439,54
1,HERMANUS,HERMANUS,2016,KELP,3,Pachymetopon blochii,1,Summer_2016,-34.4209,19.2439,54
1,HERMANUS,HERMANUS,2016,KELP,3,Pachymetopon grande,10,Summer_2016,-34.4209,19.2439,54
1,HERMANUS,HERMANUS,2016,KELP,3,Sarpa salpa,46,Summer_2016,-34.4209,19.2439,54
1,HERMANUS,HERMANUS,2014,REEF,2.5,Cheilodactylus fasciatus,3,Spring_2014,-34.4209,19.2439,55
1,HERMANUS,HERMANUS,2014,REEF,2.5,Chirodactylus brachydactylus,2,Spring_2014,-34.4209,19.2439,55
1,HERMANUS,HERMANUS,2014,REEF,2.5,Clinus superciliosus,1,Spring_2014,-34.4209,19.2439,55
1,HERMANUS,HERMANUS,2014,REEF,2.5,Clinus venustris,1,Spring_2014,-34.4209,19.2439,55
1,HERMANUS,HERMANUS,2014,REEF,2.5,Liza ricardsonii,11,Spring_2014,-34.4209,19.2439,55
1,HERMANUS,HERMANUS,2014,REEF,2.5,Muraenoclinus dorsalis,1,Spring_2014,-34.4209,19.2439,55
1,HERMANUS,HERMANUS,2015,REEF,7,Cheilodactylus fasciatus,1,Winter_2015,-34.4204,19.2449,48
1,HERMANUS,HERMANUS,2015,REEF,7,Clinus superciliosus,1,Winter_2015,-34.4204,19.2449,48
1,HERMANUS,HERMANUS,2015,REEF,7,Fucomimus mus,2,Winter_2015,-34.4204,19.2449,48
1,HERMANUS,HERMANUS,2013,KELP,4,Clinus cottoides,1,Spring_2013,-34.4195,19.245,1
1,HERMANUS,HERMANUS,2013,KELP,4,Diplodus hottentotus,10,Spring_2013,-34.4195,19.245,1
1,HERMANUS,HERMANUS,2013,KELP,4,Haploblepharus pictus,1,Spring_2013,-34.4195,19.245,1
1,HERMANUS,HERMANUS,2013,KELP,4,Rhabdosargus globiceps,1,Spring_2013,-34.4195,19.245,1
1,HERMANUS,HERMANUS,2013,KELP,4,Sarpa salpa,50,Spring_2013,-34.4195,19.245,1
1,HERMANUS,HERMANUS,2013,KELP,4,Clinus cottoides,1,Spring_2013,-34.4195,19.245,3
1,HERMANUS,HERMANUS,2013,KELP,4,Clinus superciliosus,1,Spring_2013,-34.4195,19.245,3
1,HERMANUS,HERMANUS,2013,KELP,4,Clinus venustris,2,Spring_2013,-34.4195,19.245,3
1,HERMANUS,HERMANUS,2013,KELP,4,Haplobepharus pictus,1,Spring_2013,-34.4195,19.245,3
1,HERMANUS,HERMANUS,2013,KELP,4,Haploblepharus edwardsii,2,Spring_2013,-34.4195,19.245,3
1,HERMANUS,HERMANUS,2015,REEF,6,Fucomimus mus,2,Winter_2015,-34.4195,19.245,45
1,HERMANUS,HERMANUS,2015,REEF,6,Haploblepharus edwardsii,1,Winter_2015,-34.4195,19.245,45
1,HERMANUS,HERMANUS,2015,REEF,6,Haploblepharus pictus,1,Winter_2015,-34.4195,19.245,45
1,HERMANUS,HERMANUS,2013,KELP,4,Cheilodactylus fasciatus,1,Spring_2013,-34.4195,19.245,5
1,HERMANUS,HERMANUS,2013,KELP,4,Clinus cottoides,2,Spring_2013,-34.4195,19.245,5
1,HERMANUS,HERMANUS,2013,KELP,4,Clinus superciliosus,1,Spring_2013,-34.4195,19.245,5
1,HERMANUS,HERMANUS,2013,KELP,4,Eptatretus hexatrema,1,Spring_2013,-34.4195,19.245,5
1,HERMANUS,HERMANUS,2013,KELP,4,Haploblepharus edwardsii,1,Spring_2013,-34.4195,19.245,5
1,HERMANUS,HERMANUS,2015,KELP,4,Clinus superciliosus,1,Winter_2015,-34.4195,19.245,50
1,HERMANUS,HERMANUS,2015,KELP,4,Clinus venustris,1,Winter_2015,-34.4195,19.245,50
1,HERMANUS,HERMANUS,2015,KELP,4,Haploblepharus fuscus,1,Winter_2015,-34.4195,19.245,50
1,HERMANUS,HERMANUS,2016,KELP,2.5,Cheilodactylus fasciatus,1,Summer_2016,-34.4195,19.245,9
1,HERMANUS,HERMANUS,2016,KELP,2.5,Chorisochismus dentex,1,Summer_2016,-34.4195,19.245,9
1,HERMANUS,HERMANUS,2016,KELP,2.5,Clinus superciliosus,2,Summer_2016,-34.4195,19.245,9
1,HERMANUS,HERMANUS,2016,KELP,2.5,Fucomimus mus,1,Summer_2016,-34.4195,19.245,9
1,HERMANUS,HERMANUS,2016,KELP,2.5,Haploblepharus pictus,1,Summer_2016,-34.4195,19.245,9
1,HERMANUS,HERMANUS,2014,KELP,6,Cheilodactylus fasciatus,1,Summer_2014,-34.413347,19.277877,8
1,HERMANUS,HERMANUS,2014,KELP,6,Clinus cottoides,1,Summer_2014,-34.413347,19.277877,8
1,HERMANUS,HERMANUS,2014,KELP,6,Haploblepharus edwardsii,1,Summer_2014,-34.413347,19.277877,8
1,HERMANUS,HERMANUS,2015,KELP,10,Clinus superciliosus,1,Winter_2015,-34.412731,19.272829,47
1,HERMANUS,HERMANUS,2015,KELP,10,Eptatretus hexatrema,3,Winter_2015,-34.412731,19.272829,47
1,HERMANUS,HERMANUS,2015,KELP,10,Haploblepharus edwardsii,2,Winter_2015,-34.412731,19.272829,47
1,HERMANUS,HERMANUS,2014,KELP,2,Cheilodactylus fasciatus,4,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Chirodactylus brachydactylus,2,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Clinus agilis,2,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Clinus superciliosus,1,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Haplobepharus pictus,1,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Haploblepharus edwardsii,1,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Haploblepharus pictus,2,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2014,KELP,2,Poroderma africanum,1,Winter_2014,34.43321,19.225235,20
1,HERMANUS,HERMANUS,2015,KELP,2,Cheilodactylus  fasciatus,3,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Cheilodactylus  pixi,1,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Cheilodactylus fasciatus,16,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Chirodactylus brachydactylus,1,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Clinus superciliosus,2,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Eptatretus hexatrema,3,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Galeichthys feliceps,3,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Haploblepharus edwardsii,1,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Haploblepharus pictus,1,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Poroderma africanum,1,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2015,KELP,2,Sarpa salpa,28,Summer_2015,34.43321,19.225235,51
1,HERMANUS,HERMANUS,2014,KELP,2,Cheilodactylus fasciatus,16,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Cheilodactylus pixi,1,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Chirodactylus brachydactylus,1,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Clinus superciliosus,2,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Eptatretus hexatrema,3,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Galeichthys feliceps,3,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Haploblepharus edwardsii,1,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Haploblepharus pictus,1,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Poroderma africanum,1,Summer_2014,34.43321,19.225235,6
1,HERMANUS,HERMANUS,2014,KELP,2,Sarpa salpa,28,Summer_2014,34.43321,19.225235,6
1,BB,BB,2013,REEF,17.9,Clinus superciliosus,2,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,REEF,17.9,Eptatretus hexatrema,1,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,REEF,17.9,Haploblepharus edwardsii,1,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,REEF,17.9,Haploblepharus pictus,2,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,REEF,17.9,Pachymetopon blochii,5,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,REEF,17.9,Poroderma africanum,1,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,REEF,17.9,Pterogymnus laniarius,2,Summer_2014,-34.38089,18.89748,1
1,BB,BB,2013,KELP,4.5,Cheilodactylus fasciatus,1,Summer_2014,-34.37286,18.89515,2
1,BB,BB,2013,KELP,5,Clinus superciliosus,4,Summer_2014,-34.37286,18.89515,2
1,BB,BB,2013,KELP,4.5,Haploblepharus pictus,1,Summer_2014,-34.37286,18.89515,2
1,BB,BB,2013,KELP,10.4,Clinus superciliosus,1,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,10.4,Diplodus hottentotus,1,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,10.4,Eptatretus hexatrema,1,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,10.4,Haploblepharus pictus,2,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,10.4,Notorynchus cepedianus,2,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,10.4,Pachymetopon blochii,8,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,10.4,Poroderma pantherinum,1,Summer_2014,-34.37285,18.89884,3
1,BB,BB,2013,KELP,7,Clinus superciliosus,1,Summer_2014,-34.36316,18.90879,4
1,BB,BB,2013,KELP,7,Haploblepharus pictus,2,Summer_2014,-34.36316,18.90879,4
1,BB,BB,2013,KELP,7,Notorynchus cepedianus,1,Summer_2014,-34.36316,18.90879,4
1,BB,BB,2013,KELP,11.5,Cheilodactylus fasciatus,1,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Clinus superciliosus,3,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Haploblepharus edwardsii,3,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Haploblepharus pictus,2,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Notorynchus cepedianus,2,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Pachymetopon blochii,2,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Poroderma africanum,1,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Pterogymnus laniarius,1,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,11.5,Spondyliosoma emarginatum,3,Summer_2014,-34.37398,18.89886,5
1,BB,BB,2013,KELP,16,Boopsoidea inornata,5,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Cheilodactylus fasciatus,1,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Chirodactylus brachydactylus,1,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Chrysoblephus laticeps,2,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Clinus superciliosus,2,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Galeichthys ater,1,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Haploblepharus pictus,1,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Notorynchus cepedianus,1,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Pachymetopon blochii,10,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Poroderma africanum,3,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Poroderma pantherinum,1,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,KELP,16,Spondyliosoma emarginatum,3,Summer_2014,-34.3725,18.90708,6
1,BB,BB,2013,REEF,5.5,Atractoscion aequidens,1,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Galeichthys ater,1,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Haploblepharus edwardsii,2,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Notorynchus cepedianus,1,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Poroderma africanum,1,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Poroderma pantherinum,1,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Rhabdosargus globiceps,2,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,5.5,Triakis megalopterus,1,Summer_2014,-34.36045,18.91412,7
1,BB,BB,2013,REEF,18.3,Atractoscion aequidens,2,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Cheilodactylus fasciatus,1,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Chrysoblephus laticeps,2,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Galeichthys ater,1,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Haploblepharus edwardsii,1,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Haploblepharus pictus,1,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Notorynchus cepedianus,1,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Pachymetopon blochii,7,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Poroderma africanum,5,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Poroderma pantherinum,1,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Pterogymnus laniarius,11,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,18.3,Trachurus capensis,280,Summer_2014,-34.36417,18.94855,8
1,BB,BB,2013,REEF,23.4,Haploblepharus edwardsii,1,Summer_2014,-34.37393,18.9322,9
1,BB,BB,2013,REEF,23.4,Notorynchus cepedianus,1,Summer_2014,-34.37393,18.9322,9
1,BB,BB,2013,REEF,23.4,Pachymetopon blochii,1,Summer_2014,-34.37393,18.9322,9
1,BB,BB,2013,REEF,23.4,Poroderma africanum,1,Summer_2014,-34.37393,18.9322,9
1,BB,BB,2013,REEF,23.4,Pterogymnus laniarius,11,Summer_2014,-34.37393,18.9322,9
1,BB,BB,2013,REEF,23.4,Trachurus capensis,100,Summer_2014,-34.37393,18.9322,9
1,BB,BB,2013,REEF,24.6,Cheilodactylus fasciatus,1,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Chrysoblephus laticeps,2,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Galeichthys ater,1,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Haploblepharus edwardsii,1,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Pachymetopon aeneum,1,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Pachymetopon blochii,3,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Poroderma africanum,2,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Poroderma pantherinum,1,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Pterogymnus laniarius,4,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Spondyliosoma emarginatum,2,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2013,REEF,24.6,Trachurus capensis,1,Summer_2014,-34.38628,18.89718,11
1,BB,BB,2014,REEF,32.9,Argyrozona argyrozona,3,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,32.9,Chrysoblephus laticeps,2,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,32.9,Galeichthys ater,1,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,32.9,Haploblepharus edwardsii,1,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,32.9,Pachymetopon blochii,4,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,32.9,Pterogymnus laniarius,20,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,32.9,Trachurus capensis,4,Summer_2014,-34.38935,18.88934,13
1,BB,BB,2014,REEF,28.8,Cheilodactylus fasciatus,1,Summer_2014,-34.39327,18.87692,14
